,CarPrice,CarMileage,VIN,TimeStamp,Source,Make,Model,Year,Trim,ExteriorColorGeneral,InteriorColorGeneral,DrivetrainGeneral,FuelTypeGeneral,TransmissionGeneral,EngineSize,EngineConfiguration,Fuel System,Turbocharged,Hybrid,ZipLocation
402,47500.0,53216,3C6UR5DL8LG116899,2023-11-24 22:08:57.098882+00:00,Cars.com,RAM,2500,2020,DJ,White,Black,4WD,Diesel,Automatic,6.7L,I6,DI,1,0,01464
403,19900.0,48265,JN8CS1MW2GM751846,2023-11-24 22:31:41.510230+00:00,Cars.com,INFINITI,QX70,2016,,Other,Other,AWD,Gasoline,Automatic,3.7L,,,0,0,01237
404,33464.0,31974,1GNEVHKW0LJ243658,2023-11-24 21:37:43.982487+00:00,Cars.com,CHEVROLET,Traverse,2020,,Other,Other,Other,Gasoline,Other,,,,0,0,02045
405,32975.0,28948,1GTG6DE37G1203883,2023-11-24 22:08:23.234882+00:00,Cars.com,GMC,Canyon,2016,,Gray,Other,4WD,Gasoline,Automatic,3.6L,V6,GDI,0,0,01464
406,24341.0,38359,KM8J3CAL3KU009322,2023-11-24 22:05:33.662972+00:00,Cars.com,HYUNDAI,Tucson,2019,,Gray,Black,AWD,Gasoline,Automatic,2.4L,I4,GDI,0,0,01464
407,23994.0,45021,JM3KFBDMXL0728355,2023-11-12 17:41:34.077520+00:00,Cars.com,MAZDA,CX-5,2020,Grand Touring,White,Other,AWD,Gasoline,Automatic,2.5L,I4,GDI,0,0,
408,37522.0,31837,3TMDZ5BN6LM083335,2023-11-24 21:36:19.597198+00:00,Cars.com,TOYOTA,Tacoma,2020,SR5 Grade,Other,Black,4WD,Gasoline,Automatic,3.5L,V6,DI,0,0,02045
409,60296.0,22341,SALEJ7RX4N2088082,2023-11-12 20:13:22.208711+00:00,Cars.com,LAND ROVER,Defender,2022,110 S,Other,Black,4WD,Gasoline,Automatic,2.0L,I4,GDI,1,0,
410,16996.0,38511,1J4FA39S06P706425,2023-11-12 20:16:48.066058+00:00,Cars.com,JEEP,Wrangler,2006,X,Black,Gray,4WD,Gasoline,Manual,4.0L,I6,MPFI,0,0,
411,17161.0,73054,5NPD84LF3LH620785,2023-11-24 22:05:48.000972+00:00,Cars.com,HYUNDAI,Elantra,2020,,Gray,Black,FWD,Gasoline,Automatic,2.0L,I4,MPFI,0,0,01464
412,26505.0,24055,YV4AC2HKXL2338749,2023-11-12 20:17:51.966925+00:00,Cars.com,VOLVO,XC40,2020,Momentum,White,Gray,FWD,Gasoline,Automatic,2.0L,I4,GDI,1,0,
413,36919.0,25931,7MMVABDY9PN108578,2023-11-24 21:58:24.280099+00:00,Cars.com,MAZDA,CX-50,2023,Premium Package,Other,Other,AWD,Gasoline,Automatic,2.5L,I4,GDI,1,0,01464
414,17500.0,117089,5TDXK3DC3ES443584,2023-11-12 20:14:00.953166+00:00,Cars.com,TOYOTA,Sienna,2014,,White,Other,FWD,Gasoline,Automatic,3.5L,,,0,0,
